id,label
40965,automobile
49341,airplane
42961,frog
5537,horse
8394,frog
16482,deer
38978,airplane
4981,frog
26208,airplane
29219,deer
29515,truck
5962,dog
17779,dog
21234,dog
3968,ship
19243,automobile
9559,bird
31988,airplane
28957,frog
32986,frog
47434,airplane
41612,truck
31912,truck
30850,bird
8413,dog
822,horse
44542,automobile
49610,cat
8184,cat
24873,frog
45135,dog
47975,ship
23132,horse
13613,cat
18364,deer
45488,automobile
35347,truck
42816,bird
38885,horse
30289,cat
32348,horse
48285,truck
5046,truck
27566,horse
35638,frog
10700,deer
12388,bird
16075,horse
39651,airplane
19421,frog
30267,cat
16384,deer
4415,cat
26131,deer
46887,cat
41056,airplane
10623,truck
33514,bird
8007,ship
1232,truck
8006,ship
10829,frog
49392,horse
5734,cat
43181,deer
5636,automobile
15652,frog
44061,ship
12356,airplane
46081,cat
6792,ship
2582,cat
45985,truck
5882,truck
7227,frog
25934,cat
21776,truck
49802,horse
37140,truck
21488,bird
37791,dog
42766,bird
49752,deer
5479,cat
11529,bird
33863,deer
42319,automobile
10956,airplane
24484,truck
16479,frog
4911,deer
45686,automobile
5125,frog
39959,deer
3411,dog
10044,airplane
8887,truck
48265,automobile
11504,ship
47674,horse
46569,cat
7415,truck
30831,airplane
41415,airplane
48246,dog
47906,dog
48367,bird
33644,automobile
13957,frog
48652,bird
2199,cat
38018,truck
4609,bird
18448,horse
21957,frog
9309,truck
812,ship
39258,horse
3397,dog
3147,horse
41750,frog
49127,horse
21835,dog
24468,bird
36482,bird
35026,horse
3876,cat
1692,dog
18297,bird
25609,automobile
28206,ship
42220,deer
43231,horse
32148,automobile
17028,dog
34676,automobile
8765,horse
6146,frog
40991,ship
30486,frog
11325,cat
44807,airplane
31001,airplane
39978,deer
38872,truck
32671,airplane
24749,ship
12675,airplane
37785,dog
40049,ship
4414,deer
22082,frog
34081,automobile
14943,cat
38463,frog
2207,truck
35334,horse
27331,automobile
29717,automobile
39670,dog
10214,frog
36703,frog
28239,bird
17918,airplane
37809,ship
43319,cat
25969,horse
21333,bird
19987,horse
20152,cat
48936,dog
18949,bird
12664,deer
22286,truck
2927,deer
49882,bird
11357,airplane
8254,frog
16419,cat
28873,bird
13025,truck
46386,frog
41340,dog
36171,bird
46746,cat
43899,bird
23069,cat
17219,truck
3785,deer
31098,ship
42080,frog
45196,automobile
10945,bird
37611,dog
47094,airplane
33383,horse
8901,automobile
17313,automobile
13817,ship
32423,frog
37694,airplane
8610,cat
26492,automobile
26774,bird
17578,frog
42420,deer
6770,automobile
4608,automobile
15438,automobile
11021,deer
12892,ship
5684,automobile
28663,bird
43174,bird
44530,automobile
36428,airplane
10459,automobile
2254,deer
42518,airplane
2039,automobile
15292,frog
26959,dog
11331,dog
22270,automobile
37314,deer
16926,automobile
26003,truck
47891,horse
43214,dog
12905,cat
19550,truck
49973,bird
8208,airplane
37467,deer
7919,frog
22152,automobile
43692,frog
46154,deer
33848,automobile
37147,airplane
20308,automobile
16373,bird
44278,bird
37635,truck
7378,airplane
47817,bird
25771,horse
9046,frog
14933,dog
19713,horse
34463,ship
34550,truck
48835,cat
18143,deer
12064,truck
39668,horse
1169,airplane
23233,automobile
39218,deer
10078,horse
15403,frog
45294,deer
22064,automobile
19148,ship
48550,bird
13973,deer
9018,automobile
44887,automobile
47716,truck
32136,automobile
39223,bird
9844,truck
34420,ship
28497,horse
43002,ship
6232,automobile
2874,ship
16200,dog
34743,cat
17270,automobile
16418,horse
28614,deer
29996,bird
34189,dog
49455,horse
16802,airplane
35744,deer
9410,horse
7881,deer
13413,deer
6025,dog
1595,airplane
11522,deer
47095,ship
25390,automobile
17589,ship
25649,truck
45002,automobile
6974,airplane
13897,deer
21661,horse
41732,airplane
48032,truck
37244,bird
928,airplane
5445,bird
49279,truck
41478,truck
12833,dog
4189,dog
25706,cat
9773,dog
8773,deer
27854,deer
22532,ship
29628,frog
23341,bird
41412,bird
4690,airplane
7800,frog
37536,truck
38203,dog
26793,bird
32905,frog
31485,deer
29937,cat
6714,horse
16001,horse
39939,frog
10709,ship
23343,ship
20678,ship
45272,dog
47481,dog
17986,horse
4723,airplane
5562,dog
30440,automobile
34204,bird
27817,bird
45619,deer
43990,airplane
40914,ship
29517,frog
23778,dog
23336,dog
28250,horse
8104,truck
36985,frog
23869,truck
31884,dog
35267,ship
47864,automobile
27913,dog
34166,horse
38300,airplane
16549,airplane
34373,horse
39601,truck
33362,bird
16338,frog
31783,dog
30614,automobile
29403,dog
32177,truck
4489,frog
11012,cat
15485,frog
21216,automobile
46001,bird
9401,automobile
13494,horse
29748,ship
16496,cat
39034,cat
11088,bird
9242,frog
21490,truck
14423,cat
47986,truck
34609,bird
40161,cat
36348,dog
36802,bird
11295,cat
25174,truck
14044,frog
32099,cat
2090,dog
30198,horse
3774,automobile
931,deer
19815,airplane
20765,automobile
15559,automobile
26256,dog
47494,dog
40134,bird
31421,bird
41042,ship
14736,cat
21886,bird
10771,cat
34638,automobile
12694,bird
16343,ship
38970,ship
20484,dog
19008,dog
2164,bird
17420,bird
14211,airplane
10440,cat
3534,deer
29060,truck
10411,dog
5029,airplane
2837,frog
13825,cat
31507,airplane
23306,truck
15891,bird
10681,ship
19136,frog
38714,horse
49770,automobile
18330,cat
922,frog
47432,airplane
12391,dog
17266,dog
14032,cat
25971,airplane
10816,frog
40723,truck
14712,ship
23792,airplane
37942,bird
13463,automobile
49467,cat
22880,dog
36359,airplane
1129,cat
46584,horse
546,horse
12233,automobile
22619,bird
48622,deer
25315,automobile
43468,dog
25271,airplane
26685,airplane
40336,cat
7899,airplane
7399,dog
13359,truck
8692,dog
6380,ship
19660,truck
6267,deer
1047,horse
15123,cat
18084,dog
26734,horse
6528,deer
28441,dog
23702,truck
22885,automobile
44439,ship
37163,cat
18319,dog
28745,deer
22800,airplane
16857,ship
11898,airplane
48713,bird
36929,truck
11457,bird
25641,cat
40580,horse
39546,ship
40604,cat
36941,ship
33348,airplane
33540,automobile
41074,airplane
10412,ship
14621,bird
28739,cat
201,frog
46402,truck
49861,truck
44339,horse
30377,airplane
42072,cat
34797,truck
30131,frog
28367,horse
48982,frog
32218,airplane
26694,airplane
34551,frog
35520,bird
9515,ship
38533,truck
25255,cat
28357,cat
16610,bird
38425,dog
39267,horse
17870,truck
3605,dog
35886,ship
19270,ship
30340,cat
36643,frog
18298,truck
44675,automobile
3944,frog
14834,frog
10219,frog
26056,ship
48796,frog
31349,automobile
49576,deer
36128,dog
17649,horse
7476,automobile
39389,deer
18212,airplane
17984,airplane
48658,cat
37007,dog
23544,horse
39194,ship
27223,cat
23354,cat
5709,frog
30309,dog
9310,automobile
8643,horse
25953,horse
19035,truck
14741,automobile
33149,airplane
37914,automobile
21243,truck
24189,truck
41271,deer
24997,deer
25108,horse
27027,airplane
3489,bird
8057,cat
33479,airplane
11165,dog
28047,truck
4794,horse
44815,frog
39872,cat
33913,dog
198,cat
325,dog
32394,dog
39611,bird
49454,truck
29995,frog
7279,frog
15414,horse
14030,bird
12279,cat
40945,dog
5095,airplane
20505,frog
46519,horse
24029,dog
41239,airplane
1060,cat
4636,dog
13703,ship
16312,dog
432,dog
44755,automobile
44134,horse
36881,frog
45724,deer
42828,cat
39771,ship
17510,airplane
15649,ship
5980,bird
11551,deer
34923,frog
38965,deer
17329,airplane
31691,truck
48181,horse
25368,bird
18919,deer
16557,dog
45575,automobile
23840,ship
32522,frog
35443,cat
35933,dog
7269,cat
32961,deer
23929,horse
872,airplane
3178,cat
38241,dog
48579,horse
17906,truck
42859,frog
13389,ship
10961,cat
33576,bird
47841,cat
11579,cat
21800,truck
28661,dog
11143,dog
18169,ship
13618,frog
10883,automobile
33171,bird
22181,horse
16956,dog
44805,deer
29739,deer
45981,bird
36770,dog
7794,truck
1429,airplane
5210,cat
37038,horse
15939,deer
14832,ship
5458,airplane
22896,dog
42111,airplane
25110,horse
20542,frog
3715,dog
3852,automobile
23906,bird
24655,automobile
20017,horse
13882,truck
593,ship
4225,deer
27764,horse
37939,automobile
17541,cat
41133,ship
10785,cat
32920,dog
38941,deer
45017,automobile
