                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94145,                 2.9744,                 1.2921,                0.66944,                0.10541,                0.31311,                 0.2347,                0.78585,                 3.0389,                 1.2027,             0.00032219,             0.00032219,             0.00032219
                      2,                 1.0008,                 2.0869,                 1.3319,                0.58429,                0.42353,                0.47343,                0.34803,                  1.007,                  2.253,                 1.3874,             0.00065225,             0.00065225,             0.00065225
                      3,                0.98492,                 1.7523,                 1.2872,                0.62013,                0.51236,                0.55874,                 0.3899,                 1.0881,                 1.8098,                 1.3688,               0.000979,               0.000979,               0.000979
                      4,                 1.0167,                 1.6867,                 1.3066,                0.69979,                0.42614,                0.49525,                0.33695,                 1.1164,                 2.3307,                 1.4278,              0.0010945,              0.0010945,              0.0010945
                      5,                0.98866,                 1.6115,                 1.2915,                0.60458,                 0.5677,                0.57597,                 0.4169,                 1.0303,                 1.8842,                 1.3605,               0.001089,               0.001089,               0.001089
                      6,                 1.0036,                 1.5797,                 1.2983,                0.55327,                0.59898,                0.59824,                 0.4248,                  1.072,                 1.7378,                  1.384,              0.0010835,              0.0010835,              0.0010835
                      7,                0.97198,                 1.5212,                 1.2835,                0.54117,                0.51134,                0.52707,                0.35352,                 1.2545,                 2.1219,                 1.5332,               0.001078,               0.001078,               0.001078
                      8,                0.97735,                 1.4812,                 1.2777,                0.68701,                 0.5634,                0.62854,                0.45735,                 1.0266,                   1.76,                 1.3578,              0.0010725,              0.0010725,              0.0010725
                      9,                0.94298,                 1.3741,                 1.2684,                0.64561,                0.56067,                0.62279,                0.46572,                0.96061,                 1.6069,                  1.282,               0.001067,               0.001067,               0.001067
                     10,                0.93261,                 1.3507,                 1.2334,                0.64246,                0.64267,                0.68237,                0.51503,                0.95656,                 1.4625,                 1.2765,              0.0010615,              0.0010615,              0.0010615
                     11,                0.94873,                 1.3486,                 1.2482,                0.68835,                0.65634,                0.70553,                0.53141,                0.91732,                 1.4825,                  1.266,               0.001056,               0.001056,               0.001056
                     12,                0.89487,                 1.3042,                 1.2157,                0.66235,                0.63203,                0.67624,                0.50635,                0.92167,                 1.4471,                 1.3076,              0.0010505,              0.0010505,              0.0010505
                     13,                0.90732,                 1.2619,                  1.235,                0.66212,                0.61674,                0.65536,                0.48885,                0.90757,                 1.6304,                 1.2498,               0.001045,               0.001045,               0.001045
                     14,                0.86728,                 1.2121,                 1.1847,                0.65834,                0.65652,                0.65415,                0.49579,                0.93937,                 1.5741,                 1.3001,              0.0010395,              0.0010395,              0.0010395
                     15,                0.89537,                 1.1776,                 1.2005,                 0.7087,                0.69485,                 0.7525,                0.56026,                0.93527,                 1.2925,                 1.2625,               0.001034,               0.001034,               0.001034
                     16,                0.86994,                 1.1517,                 1.1992,                0.79129,                0.68565,                0.77753,                0.57437,                0.90456,                 1.2738,                 1.2589,              0.0010285,              0.0010285,              0.0010285
                     17,                0.88733,                 1.1683,                 1.2067,                0.75909,                0.65276,                 0.7232,                0.56039,                0.85072,                 1.3753,                  1.193,               0.001023,               0.001023,               0.001023
                     18,                0.85531,                 1.1137,                 1.1989,                0.68813,                0.68267,                0.69837,                0.52414,                0.91372,                 1.3783,                 1.2323,              0.0010175,              0.0010175,              0.0010175
                     19,                0.84161,                 1.0723,                 1.1799,                 0.7607,                0.67301,                0.73346,                0.57157,                 0.8298,                 1.3104,                 1.1846,               0.001012,               0.001012,               0.001012
                     20,                0.85731,                 1.1097,                 1.1852,                0.70882,                0.70535,                0.70052,                0.53942,                0.84228,                 1.3337,                 1.2038,              0.0010065,              0.0010065,              0.0010065
                     21,                0.84332,                 1.0826,                 1.1831,                0.71176,                0.65212,                0.70963,                0.54985,                0.90851,                 1.3867,                 1.2749,               0.001001,               0.001001,               0.001001
                     22,                0.84653,                 1.0729,                 1.1778,                0.72451,                0.72654,                0.76626,                0.57442,                0.86176,                 1.2239,                 1.1964,             0.00099551,             0.00099551,             0.00099551
                     23,                0.86954,                  1.066,                 1.1932,                0.72811,                0.68853,                0.73138,                0.53858,                 0.9072,                 1.2589,                 1.2385,             0.00099001,             0.00099001,             0.00099001
                     24,                0.82415,                 1.0353,                 1.1681,                0.74909,                0.59218,                0.70159,                0.54996,                0.85855,                 1.2823,                 1.2241,             0.00098451,             0.00098451,             0.00098451
                     25,                 0.7966,                  0.952,                 1.1557,                0.80483,                 0.6471,                0.73565,                0.56625,                0.85313,                 1.1621,                  1.222,             0.00097901,             0.00097901,             0.00097901
                     26,                0.79378,                0.96425,                  1.143,                0.73956,                0.73051,                0.76771,                0.60171,                0.81056,                 1.0923,                 1.1668,             0.00097351,             0.00097351,             0.00097351
                     27,                0.79056,                0.94319,                 1.1539,                0.70222,                0.68316,                0.76722,                0.59031,                0.90635,                   1.19,                 1.2383,             0.00096801,             0.00096801,             0.00096801
