                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94145,                 2.9744,                 1.2921,                0.66944,                0.10541,                0.31311,                 0.2347,                0.78585,                 3.0389,                 1.2027,             0.00032219,             0.00032219,             0.00032219
                      2,                 1.0058,                 2.0862,                 1.3386,                0.52496,                0.44762,                 0.4453,                0.33796,                0.93053,                 2.2411,                 1.2956,             0.00063386,             0.00063386,             0.00063386
                      3,                0.98235,                 1.7972,                 1.2903,                0.52178,                0.55194,                0.54713,                0.39649,                 1.0218,                 1.8943,                 1.3358,             0.00092353,             0.00092353,             0.00092353
                      4,                 1.0019,                 1.6706,                 1.3039,                0.50273,                0.55212,                0.53248,                0.38688,                 1.0388,                 1.8979,                  1.372,               0.001001,               0.001001,               0.001001
                      5,                0.94771,                  1.549,                 1.2519,                0.60455,                0.64979,                0.65533,                0.48262,                0.90906,                 1.6784,                 1.2496,             0.00096435,             0.00096435,             0.00096435
                      6,                0.97877,                 1.5454,                 1.2815,                0.65458,                0.61483,                0.65005,                0.49545,                 0.9539,                 1.6717,                 1.3244,             0.00092769,             0.00092769,             0.00092769
                      7,                0.94482,                 1.4599,                 1.2671,                0.63673,                0.60148,                0.67461,                0.50211,                0.96209,                 1.5563,                 1.3151,             0.00089102,             0.00089102,             0.00089102
                      8,                0.92692,                 1.3738,                 1.2386,                0.71599,                0.62128,                0.67673,                0.48513,                 1.0545,                 1.7528,                 1.3536,             0.00085436,             0.00085436,             0.00085436
                      9,                0.91147,                 1.3221,                 1.2439,                0.61846,                 0.7316,                0.74427,                0.56851,                0.91774,                 1.4489,                 1.2443,              0.0008177,              0.0008177,              0.0008177
                     10,                0.88812,                 1.3102,                 1.2109,                0.74732,                0.67778,                0.73493,                0.54945,                0.91297,                 1.3505,                 1.2379,             0.00078103,             0.00078103,             0.00078103
                     11,                0.89765,                 1.2687,                 1.2132,                0.68436,                 0.7067,                0.75498,                0.58408,                0.83508,                 1.2749,                 1.2026,             0.00074437,             0.00074437,             0.00074437
                     12,                0.82672,                 1.1941,                  1.171,                0.64792,                 0.6352,                0.66616,                0.50785,                0.91482,                 1.5355,                 1.3123,             0.00070771,             0.00070771,             0.00070771
                     13,                0.85563,                 1.1754,                  1.197,                0.65463,                0.73942,                0.71664,                0.55912,                0.84541,                 1.3186,                  1.172,             0.00067104,             0.00067104,             0.00067104
                     14,                0.78545,                  1.099,                 1.1358,                0.68613,                0.74971,                0.76812,                0.59415,                0.85155,                 1.2289,                 1.2066,             0.00063438,             0.00063438,             0.00063438
                     15,                 0.7942,                 1.0565,                 1.1425,                0.76324,                0.69524,                0.76895,                0.60263,                0.82405,                 1.2421,                 1.1723,             0.00059772,             0.00059772,             0.00059772
                     16,                0.79404,                 1.0527,                 1.1553,                 0.7905,                0.75371,                 0.8026,                0.63235,                0.81943,                 1.1522,                 1.1884,             0.00056105,             0.00056105,             0.00056105
                     17,                0.78801,                 1.0379,                 1.1496,                0.73046,                0.78865,                0.78685,                0.62165,                0.77291,                 1.0921,                  1.143,             0.00052439,             0.00052439,             0.00052439
                     18,                0.77477,                0.98095,                 1.1397,                0.74429,                0.75693,                0.79591,                0.64476,                0.78336,                 1.0789,                 1.1661,             0.00048773,             0.00048773,             0.00048773
                     19,                0.75007,                0.96619,                  1.122,                0.79628,                0.77921,                 0.8145,                0.65459,                0.78754,                 1.0455,                 1.1457,             0.00045107,             0.00045107,             0.00045107
                     20,                0.75027,                0.95661,                 1.1155,                0.76261,                0.77247,                0.80147,                0.64541,                0.74903,                 1.0825,                 1.1018,              0.0004144,              0.0004144,              0.0004144
                     21,                0.73336,                 1.1102,                 1.1305,                0.74344,                0.65391,                0.70206,                0.54943,                0.89645,                 1.5268,                 1.2905,             0.00037774,             0.00037774,             0.00037774
                     22,                0.68715,                 1.0761,                  1.101,                0.76262,                0.77616,                 0.8127,                   0.65,                0.74821,                 1.0749,                 1.1209,             0.00034108,             0.00034108,             0.00034108
